DATE,DGS10,MORTGAGE30US,DGS30,AAA
1/1/1974,6.988636364,8.54,.,7.83
2/1/1974,6.957222222,8.455,.,7.85
3/1/1974,7.209047619,8.406,.,8.01
4/1/1974,7.512380952,8.5825,.,8.25
5/1/1974,7.575909091,8.972,.,8.37
6/1/1974,7.5355,9.085,.,8.47
7/1/1974,7.805,9.28,.,8.72
8/1/1974,8.044090909,9.586,.,9
9/1/1974,8.0375,9.9575,.,9.24
10/1/1974,7.896818182,9.9775,.,9.27
11/1/1974,7.681111111,9.788,.,8.89
12/1/1974,7.433809524,9.615,.,8.89
1/1/1975,7.501363636,9.432,.,8.83
2/1/1975,7.392222222,9.105,.,8.62
3/1/1975,7.728,8.9025,.,8.67
4/1/1975,8.226818182,8.82,.,8.95
5/1/1975,8.05952381,8.906,.,8.9
6/1/1975,7.860952381,8.8925,.,8.77
7/1/1975,8.061363636,8.89,.,8.84
8/1/1975,8.397619048,8.942,.,8.95
9/1/1975,8.426666667,9.13,.,8.95
10/1/1975,8.137727273,9.224,.,8.86
11/1/1975,8.052941176,9.145,.,8.78
12/1/1975,7.996818182,9.0975,.,8.79
1/1/1976,7.742380952,9.016,.,8.6
2/1/1976,7.792777778,8.8125,.,8.55
3/1/1976,7.734347826,8.755,.,8.52
4/1/1976,7.564285714,8.73,.,8.4
5/1/1976,7.895,8.765,.,8.58
6/1/1976,7.861363636,8.8475,.,8.62
7/1/1976,7.831904762,8.934,.,8.56
8/1/1976,7.768636364,9,.,8.45
9/1/1976,7.594285714,8.9775,.,8.38
10/1/1976,7.411,8.93,.,8.32
11/1/1976,7.291052632,8.8125,.,8.25
12/1/1976,6.869090909,8.792,.,7.98
1/1/1977,7.213333333,8.7225,.,7.96
2/1/1977,7.391052632,8.67,.,8.04
3/1/1977,7.46,8.6875,7.796086957,8.1
4/1/1977,7.3705,8.752,7.7345,8.04
5/1/1977,7.456666667,8.8275,7.798095238,8.05
6/1/1977,7.275454545,8.8575,7.635909091,7.95
7/1/1977,7.33,8.942,7.644736842,7.94
8/1/1977,7.396521739,8.94,7.683478261,7.98
9/1/1977,7.343809524,8.896,7.643333333,7.92
10/1/1977,7.5235,8.9225,7.7745,8.04
11/1/1977,7.577368421,8.9225,7.846842105,8.08
12/1/1977,7.685238095,8.96,7.94047619,8.19
1/1/1978,7.956190476,9.015,8.17952381,8.41
2/1/1978,8.033333333,9.145,8.254444444,8.47
3/1/1978,8.035909091,9.202,8.234090909,8.47
4/1/1978,8.154,9.355,8.34,8.56
5/1/1978,8.345714286,9.5725,8.434761905,8.69
6/1/1978,8.462272727,9.708,8.500454545,8.76
7/1/1978,8.64,9.74,8.6495,8.88
8/1/1978,8.410869565,9.785,8.473478261,8.69
9/1/1978,8.4165,9.756,8.471,8.69
10/1/1978,8.642380952,9.8575,8.669047619,8.89
11/1/1978,8.805,10.1075,8.7515,9.03
12/1/1978,9.0065,10.346,8.8845,9.16
1/1/1979,9.099545455,10.39,8.938181818,9.25
2/1/1979,9.098333333,10.4075,9.000555556,9.26
3/1/1979,9.117272727,10.426,9.030909091,9.37
4/1/1979,9.182,10.4975,9.0845,9.38
5/1/1979,9.252380952,10.69,9.193333333,9.5
6/1/1979,8.913809524,11.036,8.923333333,9.29
7/1/1979,8.95,11.0925,8.931904762,9.2
8/1/1979,9.029565217,11.094,8.977826087,9.23
9/1/1979,9.334736842,11.3,9.168947368,9.44
10/1/1979,10.29909091,11.6375,9.847727273,10.13
11/1/1979,10.65315789,12.83,10.30052632,10.76
12/1/1979,10.386,12.9,10.124,10.74
1/1/1980,10.80227273,12.8775,10.595,11.09
2/1/1980,12.41473684,13.04,12.13315789,12.38
3/1/1980,12.74904762,15.2825,12.33904762,12.96
4/1/1980,11.47333333,16.325,11.4,12.04
5/1/1980,10.18142857,14.262,10.36142857,10.99
6/1/1980,9.778095238,12.71,9.813333333,10.58
7/1/1980,10.24772727,12.1925,10.23863636,11.07
8/1/1980,11.10190476,12.56,11.00095238,11.64
9/1/1980,11.50857143,13.1975,11.33952381,12.02
10/1/1980,11.75136364,13.792,11.58590909,12.31
